"","...1","MGG651","MGG652","MGG731","MGG733","MGG774","MGG789","MGG837","MGG958","MGG1047","MGG1051","MGG1106","MGG1284","MGG2586","MGG2666","MGG2749","MGG2869","MGG2880","MGG2902","MGG2903","MGG2925","MGG2929","MGG2942","MGG2961","MGG2963","MGG3101","MGG3202"
"1","Acidaminococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.374106,0,4.761905,0,0
"2","Agathobacter",0,0,3.343821,0,0,5.936609,0,0,0,7.696818,0,1.049201,0,0,3.191684,0,1.188,1.83404,1.658966,3.643391,0,0,0,0,3.428221,6.821962
"3","Akkermansia",0,0,0,0,0,3.853624,0,0,0,0,14.101772,3.132535,3.06917,18.079028,0,0,2.994501,0,0,0,0,6.144271,0,0,0,0
"4","Alistipes",7.644584,4.298156,1.323956,4.366177,3.176312,6.661416,5.643335,0,0,1.860939,0,4.714813,6.900258,0,5.739431,5.322738,1.42756,0,0,1.897495,4.732178,4.048809,0,1.357165,9.929238,0
"5","Alloprevotella",0,0,0,0,0,5.701014,0,0,1.794366,0,0,0,0,0,0,2.929657,0,5.431814,0,0,0,0,0,0,0,0
"6","Anaerosporobacter",0,0,0,0,0,1.452284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Anaerostipes",0,1.133922,0,0,0,0,0,0,0,0,0,1.235684,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Bacteroides",38.047852,40.481846,50.454686,52.337088,20.339838,23.309284,20.405617,70.996022,7.166697,8.465266,18.835962,31.453436,24.405274,0,19.739261,16.846657,19.596015,2.088768,5.029783,9.206365,23.268125,29.289425,3.608421,28.646827,34.747488,46.886717
"9","Barnesiella",3.513621,5.21717,0,0,1.329071,0,0,0,0,0,1.219314,0,0,0,1.797909,3.500192,0,0,0,3.920486,0,1.468196,0,0,2.18747,0
"10","Bifidobacterium",2.27894,0,0,3.363753,0,0,0,0,0,4.32676,0,0,0,0,1.858772,0,0,5.816963,0,0,8.213005,6.377536,9.865655,1.404474,0,4.463996
"11","Blautia",0,0,1.207971,0,0,0,0,0,0,0,0,1.132083,1.098691,7.499028,2.116834,3.094931,2.252954,0,1.528141,0,2.722805,0,1.437215,4.189767,0,4.43644
"12","Butyricicoccus",0,0,0,0,0,0,0,0,0,1.490603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Butyricimonas",0,0,0,0,2.351952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.230862,0,0,0,0,1.276293,0
"14","Catenibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.478984,0,0,0,0,4.025902,0,4.412428,0,0,0,0
"15","Christensenellaceae_R-7_group",0,0,0,0,0,0,1.682245,0,3.775345,0,2.906844,0,0,0,4.65606,0,0,0,0,0,0,0,0,0,0,0
"16","Collinsella",0,0,0,0,0,0,0,0,0,1.323951,0,1.258288,0,0,0,0,1.440627,1.532442,1.363915,3.590181,3.881183,1.378026,0,2.269334,0,0
"17","Coprobacter",0,0,0,0,0,0,0,0,0,0,0,0,2.15439,0,1.016421,0,0,0,0,0,0,0,0,0,0,0
"18","Coprococcus",0,0,0,0,0,0,1.115951,0,0,0,0,0,0,0,2.471059,0,0,1.742338,1.308245,2.346268,0,0,1.56614,0,0,1.712379
"19","Desulfovibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.150279,0
"20","Dialister",0,0,6.727127,0,0,0,0,0,0,16.393544,0,0,2.068405,0,1.394992,0,0,2.089786,0,0,6.407605,6.939136,9.121409,0,0,0
"21","Dorea",0,0,0,0,0,0,0,0,0,1.894886,0,0,0,0,0,1.641423,0,0,0,0,1.110942,0,1.164716,0,0,0
"22","Elusimicrobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.069204,0,0,0,0,0,0,0,0
"23","Enterococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.372265,0,0,0,0,0,0,0
"24","Erysipelatoclostridium",0,0,0,0,0,0,0,0,0,0,0,0,0,11.076546,0,0,0,0,0,0,1.367095,0,0,0,0,0
"25","Erysipelotrichaceae_UCG-003",0,0,0,0,0,0,0,0,0,2.888621,0,0,1.019872,0,0,1.464828,0,0,0,0,0,0,2.931567,0,1.024266,0
"26","Escherichia/Shigella",0,0,0,1.896478,0,0,0,1.596357,0,0,0,0,0,18.192695,0,5.336322,0,0,0,0,0,0,0,1.861297,0,0
"27","Faecalibacterium",4.613164,4.136975,5.045345,8.173392,4.592867,1.450281,5.598769,0,7.970572,5.724779,12.615835,7.55538,7.690838,0,14.870178,11.324685,5.874667,4.907075,7.345655,9.319813,16.099653,9.366853,11.039161,0,7.631911,0
"28","Flavonifractor",0,0,0,0,0,0,0,0,0,0,0,0,0,1.687057,0,0,0,0,0,0,0,0,0,0,0,0
"29","Fusicatenibacter",1.560244,0,0,1.127905,0,0,1.868831,0,2.303966,0,0,0,0,0,0,0,1.039909,0,0,0,2.403089,0,0,0,0,0
"30","Fusobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.220207,0,0
"31","Haemophilus",0,0,1.935962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Holdemanella",0,0,0,0,0,0,0,0,2.013278,0,0,5.129219,0,0,3.169773,3.615658,6.763217,0,0,3.092214,0,0,2.594606,0,0,0
"33","Klebsiella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.786811,0
"34","Lachnoclostridium",0,0,0,0,1.864065,0,0,1.072961,0,0,0,0,3.919461,15.982172,0,0,0,0,0,0,3.628826,0,0,6.890791,0,8.815801
"35","Lachnospira",1.787524,1.756023,4.98982,0,0,1.564408,0,0,0,7.909761,1.749309,1.101944,0,4.059107,3.418096,0,0,0,1.049379,2.753878,0,3.324512,0,0,2.539662,0
"36","Lachnospiraceae_ND3007_group",0,0,0,0,0,0,0,0,0,1.02151,0,0,0,0,0,0,0,0,0,1.018021,0,0,1.089998,0,0,0
"37","Lachnospiraceae_NK4A136_group",0,0,1.267197,0,0,2.789105,0,0,0,1.8918,0,1.333635,1.296933,0,1.621404,2.58326,0,2.099976,3.003396,0,2.38791,1.283936,0,0,0,0
"38","Lachnospiraceae_UCG-003",0,0,0,0,0,0,0,0,0,0,0,1.17164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Lachnospiraceae_UCG-004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.255745
"40","Lactobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.125897,0,0,0,0,0,12.882719,0,0
"41","Megasphaera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.30004,0,0
"42","Monoglobus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.204465,0,0,0,0,1.779785,0,0,0,0,0
"43","NK4A214_group",0,0,0,0,0,0,1.596677,0,0,0,0,0,0,0,0,0,1.441716,0,0,0,0,0,0,0,0,0
"44","Odoribacter",0,0,0,0,1.009421,0,0,0,1.464202,0,0,0,0,0,0,0,1.652965,0,0,0,0,1.043811,0,0,0,0
"45","Oscillibacter",0,0,0,0,0,0,1.049992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.519161,0,0,0,0
"46","Parabacteroides",1.762953,2.157561,2.907027,0,3.469044,2.627592,2.795819,0,3.886596,0,3.176719,0,1.144072,0,1.696875,3.692635,1.314314,0,0,1.140505,2.224731,1.3202,1.13688,5.997842,3.056642,0
"47","Paraprevotella",0,0,0,0,0,0,0,0,1.069442,0,2.116729,2.130425,0,0,0,0,1.25769,0,0,0,0,0,0,0,1.35384,0
"48","Parasutterella",6.194908,5.4038,4.540687,3.65179,0,0,0,0,0,0,0,0,5.123244,0,3.970737,0,1.752055,0,0,0,2.101398,0,0,3.520054,0,0
"49","Phascolarctobacterium",4.926441,4.40561,0,5.101954,8.193136,3.518584,1.723247,3.043547,3.979903,0,0,1.772529,0,0,0,3.919038,3.238417,1.042346,1.107833,3.68355,0,0,0,1.950001,1.156742,7.340596
"50","Prevotella",0,0,0,0,13.068641,0,1.175967,0,15.654046,3.462642,1.066493,0,0,0,0,10.40096,6.63037,23.348345,31.634471,15.361679,0,0,11.87424,0,0,0
"51","Prevotellaceae_NK3B31_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.584581,0,0,0,0,0,0,0,0,0
"52","Rikenellaceae_RC9_gut_group",0,0,0,0,0,0,0,0,0,0,4.880507,1.226266,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","Roseburia",1.55103,7.312521,2.417176,3.467845,0,2.567525,0,0,0,0,0,2.29242,4.148753,0,0,0,1.230468,0,1.313812,2.067165,0,1.043811,3.083933,0,0,2.178855
"54","Ruminococcus",0,0,0,0,0,4.914138,0,0,3.947605,1.172731,0,3.072257,2.094679,0,2.89467,1.840657,2.739696,0,2.438345,0,4.0159,8.076056,8.784447,0,0,2.046982
"55","Slackia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43868,0,0,0
"56","Solobacterium",0,0,0,0,0,0,0,0,0,2.015246,0,0,0,0,0,0,0,0,0,0,0,0,1.806408,0,0,0
"57","Streptococcus",0,0,0,0,0,0,0,0,1.457025,0,0,0,1.244387,2.823726,1.10163,0,0,0,0,10.084835,0,1.160443,1.384473,2.99079,0,0
"58","Subdoligranulum",2.926994,0,0,0,1.571332,2.510128,5.780007,0,1.073031,7.190692,0,4.637583,1.42591,4.011247,3.231854,3.316806,1.981815,0,3.880198,1.297124,0,0,1.973424,0,2.526738,0
"59","Succinivibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.623818,0,0,0,0,0,0,0,0
"60","Sutterella",0,0,0,0,0,6.064085,0,0,1.173515,0,2.65973,0,0,0,0,1.41502,0,2.915104,1.425152,0,0,1.172204,0,0,1.376458,1.66711
"61","UCG-002",1.661599,0,0,0,6.867429,2.297892,9.378027,0,7.615288,0,4.79922,5.031269,2.543709,0,2.786332,1.159184,1.541896,1.768829,2.443912,1.147533,0,0,0,0,2.607516,1.05892
"62","UCG-003",0,0,0,0,1.47039,1.300782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","UCG-004",0,0,0,0,0,0,0,0,3.814821,0,0,0,0,0,0,0,0,1.250204,0,0,0,0,0,0,0,0
"64","UCG-005",0,0,0,0,0,1.346833,2.538521,0,0,0,0,0,0,0,0,0,0,0,3.159272,0,0,0,0,0,0,0
"65","Unclassified",11.754047,12.023527,6.343389,5.418508,18.893001,12.323053,22.084296,14.733592,18.184102,9.576274,20.315396,8.338984,18.589376,8.121205,4.865431,5.128031,11.955137,16.75701,17.307799,4.169469,5.999658,0,13.532678,5.093065,7.331416,4.125456
"66","Veillonella",0,0,0,0,0,0,0,0,0,0,0,0,0,2.063953,0,0,0,0,0,1.130465,0,0,0,0,0,0
"67","Victivallis",0,0,0,0,3.300808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","Weissella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.070227,0,0,0,0,0,0
